# step, loss function, Y0, learning rate, running time
1.820000000000000000e+02, 2.117318709411978261e+02, 7.337506862220327264e+01, 1.000000000000000000e+00, 1.445296959877014160e+02
1.830000000000000000e+02, 2.033649116570662727e+02, 7.346066210199538205e+01, 1.000000000000000000e+00, 1.451569747924804688e+02
1.840000000000000000e+02, 2.568281450532917916e+02, 7.356342882500703695e+01, 1.000000000000000000e+00, 1.460240898132324219e+02
1.850000000000000000e+02, 1.567028743479367847e+02, 7.366397833064881695e+01, 1.000000000000000000e+00, 1.469391779899597168e+02
1.860000000000000000e+02, 1.774980255887371641e+02, 7.376595175515215885e+01, 1.000000000000000000e+00, 1.476986658573150635e+02
1.870000000000000000e+02, 2.235848291537666626e+02, 7.386046672267971758e+01, 1.000000000000000000e+00, 1.483302268981933594e+02
1.880000000000000000e+02, 1.677920735168942770e+02, 7.395439756709778578e+01, 1.000000000000000000e+00, 1.489797277450561523e+02
1.890000000000000000e+02, 1.672438061533686664e+02, 7.403885540055713932e+01, 1.000000000000000000e+00, 1.497175748348236084e+02
1.900000000000000000e+02, 1.527125632074847204e+02, 7.412979805617607099e+01, 1.000000000000000000e+00, 1.506360146999359131e+02
1.910000000000000000e+02, 2.084619834759478181e+02, 7.421596395625397236e+01, 1.000000000000000000e+00, 1.515566899776458740e+02
1.920000000000000000e+02, 1.879516275637784872e+02, 7.430400390652262388e+01, 1.000000000000000000e+00, 1.524760828018188477e+02
1.930000000000000000e+02, 2.525577849488589663e+02, 7.437239041232210468e+01, 1.000000000000000000e+00, 1.531050250530242920e+02
1.940000000000000000e+02, 1.362860891691405243e+02, 7.445520408960892667e+01, 1.000000000000000000e+00, 1.537308909893035889e+02
1.950000000000000000e+02, 1.933904070712836756e+02, 7.452588357065272362e+01, 1.000000000000000000e+00, 1.543633017539978027e+02
1.960000000000000000e+02, 1.596798433073368244e+02, 7.459234422460407643e+01, 1.000000000000000000e+00, 1.552407538890838623e+02
1.970000000000000000e+02, 1.213942294920808536e+02, 7.466740368610038558e+01, 1.000000000000000000e+00, 1.561852548122406006e+02
1.980000000000000000e+02, 1.652326667213908706e+02, 7.475022002208307015e+01, 1.000000000000000000e+00, 1.571458497047424316e+02
1.990000000000000000e+02, 1.545692634317928764e+02, 7.482032654634078028e+01, 1.000000000000000000e+00, 1.579112319946289062e+02
2.000000000000000000e+02, 2.219595076894397323e+02, 7.489087816628257599e+01, 5.000000000000000000e-01, 1.585407419204711914e+02
2.010000000000000000e+02, 1.139438598475975084e+02, 7.492939142387264440e+01, 5.000000000000000000e-01, 1.591789298057556152e+02
2.020000000000000000e+02, 1.652145240396295378e+02, 7.496480859300352506e+01, 5.000000000000000000e-01, 1.598851208686828613e+02
2.030000000000000000e+02, 2.172970151015369140e+02, 7.499995663895316511e+01, 5.000000000000000000e-01, 1.607932329177856445e+02
2.040000000000000000e+02, 1.687477678934864969e+02, 7.503317348249881036e+01, 5.000000000000000000e-01, 1.617053298950195312e+02
2.050000000000000000e+02, 2.033463960159480166e+02, 7.506183123134053403e+01, 5.000000000000000000e-01, 1.626239218711853027e+02
2.060000000000000000e+02, 1.740355017383962206e+02, 7.508194732507357116e+01, 5.000000000000000000e-01, 1.635816798210144043e+02
2.070000000000000000e+02, 1.397688536273286672e+02, 7.509298653873570117e+01, 5.000000000000000000e-01, 1.642445697784423828e+02
2.080000000000000000e+02, 1.364533688758148173e+02, 7.509708356805442975e+01, 5.000000000000000000e-01, 1.649383518695831299e+02
2.090000000000000000e+02, 1.609257530107121283e+02, 7.510442662941454728e+01, 5.000000000000000000e-01, 1.658604338169097900e+02
2.100000000000000000e+02, 2.284582111332792635e+02, 7.511971200516730107e+01, 5.000000000000000000e-01, 1.667778859138488770e+02
2.110000000000000000e+02, 1.336860060123674145e+02, 7.514681800919922239e+01, 5.000000000000000000e-01, 1.674054720401763916e+02
2.120000000000000000e+02, 1.733215375181194986e+02, 7.517074984683668504e+01, 5.000000000000000000e-01, 1.681382369995117188e+02
2.130000000000000000e+02, 1.289082413843108270e+02, 7.518144145075258677e+01, 5.000000000000000000e-01, 1.690534238815307617e+02
2.140000000000000000e+02, 1.437437322168610194e+02, 7.518919380669539976e+01, 5.000000000000000000e-01, 1.699737279415130615e+02
2.150000000000000000e+02, 1.763544069316315870e+02, 7.520146912689037322e+01, 5.000000000000000000e-01, 1.708912739753723145e+02
